🥇 1st_place_medal 
🥈 2nd_place_medal 
🥉 3rd_place_medal 
🆎 AB_button_(blood_type) ab ab_button_blood_type
🇬🇬 Guernsey flag_for_Guernsey guernsey
🇬🇳 Guinea flag_for_Guinea guinea
🇬🇼 Guinea-Bissau flag_for_Guinea_Bissau guinea_bissau
🇬🇾 Guyana flag_for_Guyana guyana
🇭🇹 Haiti flag_for_Haiti haiti
🇭🇲 Heard_&_McDonald_Islands flag_for_Heard_&_McDonald_Islands heard_mcdonald_islands
🇭🇳 Honduras flag_for_Honduras honduras
🇭🇰 Hong_Kong_SAR_China flag_for_Hong_Kong hong_kong
🇭🇺 Hungary flag_for_Hungary hungary
🆔 ID_button id id_button
🇮🇸 Iceland flag_for_Iceland iceland
🇮🇳 India flag_for_India india
🇮🇩 Indonesia flag_for_Indonesia indonesia
🇮🇷 Iran flag_for_Iran iran
🇮🇶 Iraq flag_for_Iraq iraq
🇮🇪 Ireland flag_for_Ireland ireland
🇮🇲 Isle_of_Man flag_for_Isle_of_Man isle_of_man
🇮🇱 Israel flag_for_Israel israel
🇮🇹 Italy flag_for_Italy it
🇯🇲 Jamaica flag_for_Jamaica jamaica
🇯🇵 Japan flag_for_Japan jp
🉑 Japanese_acceptable_button accept japanese_acceptable_button
🈸 Japanese_application_button u7533 japanese_application_button
🉐 Japanese_bargain_button ideograph_advantage japanese_bargain_button
🏯 Japanese_castle japanese_castle
㊗️ Japanese_congratulations_button congratulations japanese_congratulations_button
㊗ Japanese_congratulations_button congratulations japanese_congratulations_button
🈹 Japanese_discount_button u5272 japanese_discount_button
🎎 Japanese_dolls dolls japanese_dolls
🈚 Japanese_free_of_charge_button u7121 japanese_free_of_charge_button
🈁 Japanese_here_button koko japanese_here_button
🈷️ Japanese_monthly_amount_button u6708 japanese_monthly_amount_button
🈷 Japanese_monthly_amount_button u6708 japanese_monthly_amount_button
🈵 Japanese_no_vacancy_button u6e80 japanese_no_vacancy_button
🈶 Japanese_not_free_of_charge_button u6709 japanese_not_free_of_charge_button
🈺 Japanese_open_for_business_button u55b6 japanese_open_for_business_button
🈴 Japanese_passing_grade_button u5408 japanese_passing_grade_button
🏣 Japanese_post_office post_office japanese_post_office
🈲 Japanese_prohibited_button u7981 japanese_prohibited_button
🈯 Japanese_reserved_button u6307 japanese_reserved_button
㊙️ Japanese_secret_button secret japanese_secret_button
㊙ Japanese_secret_button secret japanese_secret_button
🈂️ Japanese_service_charge_button sa japanese_service_charge_button
🈂 Japanese_service_charge_button sa japanese_service_charge_button
🔰 Japanese_symbol_for_beginner beginner japanese_symbol_for_beginner
🈳 Japanese_vacancy_button u7a7a japanese_vacancy_button
🇯🇪 Jersey flag_for_Jersey jersey
🇯🇴 Jordan flag_for_Jordan jordan
🇰🇿 Kazakhstan flag_for_Kazakhstan kazakhstan
🇰🇪 Kenya flag_for_Kenya kenya
🇰🇮 Kiribati flag_for_Kiribati kiribati
🇽🇰 Kosovo flag_for_Kosovo kosovo
🇰🇼 Kuwait flag_for_Kuwait kuwait
🇰🇬 Kyrgyzstan flag_for_Kyrgyzstan kyrgyzstan
🇱🇦 Laos flag_for_Laos laos
🇱🇻 Latvia flag_for_Latvia latvia
🇱🇧 Lebanon flag_for_Lebanon lebanon
♌ Leo leo
🇱🇸 Lesotho flag_for_Lesotho lesotho
🇱🇷 Liberia flag_for_Liberia liberia
♎ Libra libra
🇱🇾 Libya flag_for_Libya libya
🇱🇮 Liechtenstein flag_for_Liechtenstein liechtenstein
🇱🇹 Lithuania flag_for_Lithuania lithuania
🇱🇺 Luxembourg flag_for_Luxembourg luxembourg
🇲🇴 Macao_SAR_China flag_for_Macau macau
🇲🇬 Madagascar flag_for_Madagascar madagascar
🇲🇼 Malawi flag_for_Malawi malawi
🇲🇾 Malaysia flag_for_Malaysia malaysia
🇲🇻 Maldives flag_for_Maldives maldives
🇲🇱 Mali flag_for_Mali mali
🇲🇹 Malta flag_for_Malta malta
🇲🇭 Marshall_Islands flag_for_Marshall_Islands marshall_islands
🇲🇶 Martinique flag_for_Martinique martinique
🇲🇷 Mauritania flag_for_Mauritania mauritania
🇲🇺 Mauritius flag_for_Mauritius mauritius
🇾🇹 Mayotte flag_for_Mayotte mayotte
🇲🇽 Mexico flag_for_Mexico mexico
🇫🇲 Micronesia flag_for_Micronesia micronesia
🇲🇩 Moldova flag_for_Moldova moldova
🇲🇨 Monaco flag_for_Monaco monaco
🇲🇳 Mongolia flag_for_Mongolia mongolia
🇲🇪 Montenegro flag_for_Montenegro montenegro
🇲🇸 Montserrat flag_for_Montserrat montserrat
🇲🇦 Morocco flag_for_Morocco morocco
🇲🇿 Mozambique flag_for_Mozambique mozambique
🤶 Mrs._Claus mrs_claus
🧑‍🎄 Mx_Claus mx_claus
🇲🇲 Myanmar_(Burma) flag_for_Myanmar myanmar
🆕 NEW_button new new_button
🆖 NG_button ng ng_button
🇳🇦 Namibia flag_for_Namibia namibia
🇳🇷 Nauru flag_for_Nauru nauru
🇳🇵 Nepal flag_for_Nepal nepal
🇳🇱 Netherlands flag_for_Netherlands netherlands
🇳🇨 New_Caledonia flag_for_New_Caledonia new_caledonia
🇳🇿 New_Zealand flag_for_New_Zealand new_zealand
🇳🇮 Nicaragua flag_for_Nicaragua nicaragua
🇳🇪 Niger flag_for_Niger niger
🇳🇬 Nigeria flag_for_Nigeria nigeria
🇳🇺 Niue flag_for_Niue niue
🇳🇫 Norfolk_Island flag_for_Norfolk_Island norfolk_island
🇰🇵 North_Korea flag_for_North_Korea north_korea
🇲🇰 North_Macedonia flag_for_Macedonia macedonia
🇲🇵 Northern_Mariana_Islands flag_for_Northern_Mariana_Islands northern_mariana_islands
🇳🇴 Norway flag_for_Norway norway
🆗 OK_button ok ok_button
👌 OK_hand ok_hand
🔛 ON!_arrow on on_arrow on!_arrow
🅾️ O_button_(blood_type) o2 o_button_blood_type
🅾 O_button_(blood_type) o2 o_button_blood_type
🇴🇲 Oman flag_for_Oman oman
⛎ Ophiuchus ophiuchus
🅿️ P_button parking p_button
🅿 P_button parking p_button
🇵🇰 Pakistan flag_for_Pakistan pakistan
🇵🇼 Palau flag_for_Palau palau
🇵🇸 Palestinian_Territories flag_for_Palestinian_Territories palestinian_territories
🇵🇦 Panama flag_for_Panama panama
🇵🇬 Papua_New_Guinea flag_for_Papua_New_Guinea papua_new_guinea
🇵🇾 Paraguay flag_for_Paraguay paraguay
🇵🇪 Peru flag_for_Peru peru
🇵🇭 Philippines flag_for_Philippines philippines
♓ Pisces pisces
🇵🇳 Pitcairn_Islands flag_for_Pitcairn_Islands pitcairn_islands
🇵🇱 Poland flag_for_Poland poland
🇵🇹 Portugal flag_for_Portugal portugal
