🥇 1st_place_medal 
🥈 2nd_place_medal 
🥉 3rd_place_medal 
🆎 AB_button_(blood_type) ab ab_button_blood_type
🍩 doughnut 
🕊️ dove dove_of_peace
🕊 dove dove_of_peace
↙️ down-left_arrow arrow_lower_left down_left_arrow
↙ down-left_arrow arrow_lower_left down_left_arrow
↘️ down-right_arrow arrow_lower_right down_right_arrow
↘ down-right_arrow arrow_lower_right down_right_arrow
⬇️ down_arrow arrow_down
⬇ down_arrow arrow_down
😓 downcast_face_with_sweat sweat
🔽 downwards_button arrow_down_small
🐉 dragon 
🐲 dragon_face 
👗 dress 
🤤 drooling_face 
🩸 drop_of_blood 
💧 droplet 
🥁 drum 
🦆 duck 
🥟 dumpling 
📀 dvd 
📧 e-mail email e_mail
🦅 eagle 
👂 ear 
🌽 ear_of_corn corn
🦻 ear_with_hearing_aid 
🥚 egg egg2
🍆 eggplant 
✴️ eight-pointed_star eight_pointed_black_star eight_pointed_star
✴ eight-pointed_star eight_pointed_black_star eight_pointed_star
✳️ eight-spoked_asterisk eight_spoked_asterisk
✳ eight-spoked_asterisk eight_spoked_asterisk
🕣 eight-thirty clock830 eight_thirty
🕗 eight_o’clock clock8 eight_oclock
⏏️ eject_button eject_symbol
⏏ eject_button eject_symbol
🔌 electric_plug 
🐘 elephant 
🛗 elevator 
🕦 eleven-thirty clock1130 eleven_thirty
🕚 eleven_o’clock clock11 eleven_oclock
🧝 elf 
🪹 empty_nest 
😡 enraged_face rage pout
✉️ envelope 
✉ envelope 
📩 envelope_with_arrow 
💶 euro_banknote euro
🌲 evergreen_tree 
🐑 ewe sheep
⁉️ exclamation_question_mark interrobang
⁉ exclamation_question_mark interrobang
🤯 exploding_head 
😑 expressionless_face expressionless
👁️ eye 
👁 eye 
👁️‍🗨️ eye_in_speech_bubble eye_speech_bubble
👁‍🗨️ eye_in_speech_bubble eye_speech_bubble
👁️‍🗨 eye_in_speech_bubble eye_speech_bubble
👁‍🗨 eye_in_speech_bubble eye_speech_bubble
👀 eyes 
😘 face_blowing_a_kiss kissing_heart
😮‍💨 face_exhaling 
🥹 face_holding_back_tears 
😶‍🌫️ face_in_clouds 
😶‍🌫 face_in_clouds 
😋 face_savoring_food yum
😱 face_screaming_in_fear scream
🤮 face_vomiting vomiting_face
🫩 face_with_bags_under_eyes 
😵 face_with_crossed-out_eyes dizzy_face face_with_crossed_out_eyes knocked_out_face
🫤 face_with_diagonal_mouth 
🤭 face_with_hand_over_mouth hand_over_mouth
🤕 face_with_head-bandage face_with_head_bandage
😷 face_with_medical_mask mask
🧐 face_with_monocle monocle_face
🫢 face_with_open_eyes_and_hand_over_mouth 
😮 face_with_open_mouth open_mouth
🫣 face_with_peeking_eye 
🤨 face_with_raised_eyebrow raised_eyebrow
🙄 face_with_rolling_eyes roll_eyes
😵‍💫 face_with_spiral_eyes 
😤 face_with_steam_from_nose triumph
🤬 face_with_symbols_on_mouth cursing_face
😂 face_with_tears_of_joy joy
🤒 face_with_thermometer 
😛 face_with_tongue stuck_out_tongue
😶 face_without_mouth no_mouth
🏭 factory 
🧑‍🏭 factory_worker 
🧚 fairy 
🧆 falafel 
🍂 fallen_leaf 
👪 family 
🧑‍🧑‍🧒 family_adult_adult_child 
🧑‍🧑‍🧒‍🧒 family_adult_adult_child_child 
🧑‍🧒 family_adult_child 
🧑‍🧒‍🧒 family_adult_child_child 
👨‍👦 family_man_boy 
👨‍👦‍👦 family_man_boy_boy 
👨‍👧 family_man_girl 
👨‍👧‍👦 family_man_girl_boy 
👨‍👧‍👧 family_man_girl_girl 
👨‍👨‍👦 family_man_man_boy 
👨‍👨‍👦‍👦 family_man_man_boy_boy 
👨‍👨‍👧 family_man_man_girl 
👨‍👨‍👧‍👦 family_man_man_girl_boy 
👨‍👨‍👧‍👧 family_man_man_girl_girl 
👨‍👩‍👦 family_man_woman_boy 
👨‍👩‍👦‍👦 family_man_woman_boy_boy 
👨‍👩‍👧 family_man_woman_girl 
👨‍👩‍👧‍👦 family_man_woman_girl_boy 
👨‍👩‍👧‍👧 family_man_woman_girl_girl 
👩‍👦 family_woman_boy 
👩‍👦‍👦 family_woman_boy_boy 
👩‍👧 family_woman_girl 
👩‍👧‍👦 family_woman_girl_boy 
👩‍👧‍👧 family_woman_girl_girl 
👩‍👩‍👦 family_woman_woman_boy 
👩‍👩‍👦‍👦 family_woman_woman_boy_boy 
👩‍👩‍👧 family_woman_woman_girl 
👩‍👩‍👧‍👦 family_woman_woman_girl_boy 
👩‍👩‍👧‍👧 family_woman_woman_girl_girl 
🧑‍🌾 farmer 
⏩ fast-forward_button fast_forward fast_forward_button
⏬ fast_down_button arrow_double_down
⏪ fast_reverse_button rewind
⏫ fast_up_button arrow_double_up
📠 fax_machine fax
😨 fearful_face fearful
🪶 feather 
♀️ female_sign 
♀ female_sign 
🎡 ferris_wheel 
⛴️ ferry 
⛴ ferry 
🏑 field_hockey field_hockey_stick_and_ball
🗄️ file_cabinet 
🗄 file_cabinet 
📁 file_folder 
🎞️ film_frames film_strip
🎞 film_frames film_strip
📽️ film_projector 
📽 film_projector 
🫆 fingerprint 
🔥 fire 
🚒 fire_engine 
🧯 fire_extinguisher 
🧨 firecracker 
🧑‍🚒 firefighter 
🎆 fireworks 
🌓 first_quarter_moon 
🌛 first_quarter_moon_face first_quarter_moon_with_face
🐟 fish 
🍥 fish_cake_with_swirl fish_cake
🎣 fishing_pole fishing_pole_and_fish
🕠 five-thirty clock530 five_thirty
🕔 five_o’clock clock5 five_oclock
⛳ flag_in_hole golf
🦩 flamingo 
🔦 flashlight 
🥿 flat_shoe 
🫓 flatbread 
⚜️ fleur-de-lis fleur_de_lis
⚜ fleur-de-lis fleur_de_lis
💪 flexed_biceps muscle
💾 floppy_disk 
🎴 flower_playing_cards 
😳 flushed_face flushed
🪈 flute 
🪰 fly 
🥏 flying_disc 
🛸 flying_saucer 
🌫️ fog 
🌫 fog 
🌁 foggy 
🙏 folded_hands pray
🪭 folding_hand_fan 
🫕 fondue 
🦶 foot 
👣 footprints 
🍴 fork_and_knife 
🍽️ fork_and_knife_with_plate plate_with_cutlery
🍽 fork_and_knife_with_plate plate_with_cutlery
🥠 fortune_cookie 
⛲ fountain 
🖋️ fountain_pen lower_left_fountain_pen
🖋 fountain_pen lower_left_fountain_pen
🕟 four-thirty clock430 four_thirty
🍀 four_leaf_clover 
🕓 four_o’clock clock4 four_oclock
🦊 fox fox_face
🖼️ framed_picture frame_with_picture
🖼 framed_picture frame_with_picture
🍟 french_fries fries
🍤 fried_shrimp 
🐸 frog 
🐥 front-facing_baby_chick hatched_chick front_facing_baby_chick
☹️ frowning_face white_frowning_face
☹ frowning_face white_frowning_face
😦 frowning_face_with_open_mouth frowning
⛽ fuel_pump fuelpump
🌕 full_moon 
🌝 full_moon_face full_moon_with_face
⚱️ funeral_urn 
⚱ funeral_urn 
🎲 game_die 
🧄 garlic 
⚙️ gear 
⚙ gear 
💎 gem_stone gem
🧞 genie 
👻 ghost 
🫚 ginger_root 
🦒 giraffe 
👧 girl 
🥛 glass_of_milk milk_glass
👓 glasses eyeglasses
🌎 globe_showing_Americas earth_americas globe_showing_americas
🌏 globe_showing_Asia-Australia earth_asia globe_showing_asia_australia
🌍 globe_showing_Europe-Africa earth_africa globe_showing_europe_africa
🌐 globe_with_meridians 
🧤 gloves 
🌟 glowing_star star2
🥅 goal_net 
🐐 goat 
👺 goblin japanese_goblin
🥽 goggles 
🪿 goose 
🦍 gorilla harambe
🎓 graduation_cap mortar_board
🍇 grapes 
🍏 green_apple 
📗 green_book 
🟢 green_circle 
💚 green_heart 
🥗 green_salad 
🟩 green_square 
🩶 grey_heart 
😬 grimacing_face grimacing
😺 grinning_cat smiley_cat
😸 grinning_cat_with_smiling_eyes smile_cat
😀 grinning_face grinning
😃 grinning_face_with_big_eyes smiley
😄 grinning_face_with_smiling_eyes smile
😅 grinning_face_with_sweat sweat_smile
😆 grinning_squinting_face satisfied laughing
💗 growing_heart heartpulse
💂 guard 
🦮 guide_dog 
🎸 guitar 
🪮 hair_pick 
🍔 hamburger 
🔨 hammer 
⚒️ hammer_and_pick 
⚒ hammer_and_pick 
🛠️ hammer_and_wrench 
🛠 hammer_and_wrench 
🪬 hamsa 
🐹 hamster 
🖐️ hand_with_fingers_splayed raised_hand_with_fingers_splayed
🖐 hand_with_fingers_splayed raised_hand_with_fingers_splayed
🫰 hand_with_index_finger_and_thumb_crossed 
👜 handbag 
🤝 handshake 
🪉 harp 
🐣 hatching_chick 
🙂‍↔️ head_shaking_horizontally 
🙂‍↔ head_shaking_horizontally 
🙂‍↕️ head_shaking_vertically 
🙂‍↕ head_shaking_vertically 
🎧 headphone headphones
🪦 headstone 
🧑‍⚕️ health_worker 
🧑‍⚕ health_worker 
🙉 hear-no-evil_monkey hear_no_evil hear_no_evil_monkey
💟 heart_decoration 
❣️ heart_exclamation heavy_heart_exclamation heavy_heart_exclamation_mark_ornament
❣ heart_exclamation heavy_heart_exclamation heavy_heart_exclamation_mark_ornament
🫶 heart_hands 
❤️‍🔥 heart_on_fire 
❤‍🔥 heart_on_fire 
♥️ heart_suit hearts
♥ heart_suit hearts
💘 heart_with_arrow cupid
💝 heart_with_ribbon gift_heart
💲 heavy_dollar_sign 
🟰 heavy_equals_sign 
🦔 hedgehog 
🚁 helicopter 
🌿 herb 
🌺 hibiscus 
👠 high-heeled_shoe high_heel high_heeled_shoe
🚄 high-speed_train bullettrain_side high_speed_train
⚡ high_voltage zap
🥾 hiking_boot 
🛕 hindu_temple 
🦛 hippopotamus 
🕳️ hole 
🕳 hole 
⭕ hollow_red_circle o
🍯 honey_pot 
🐝 honeybee bee
🪝 hook 
🚥 horizontal_traffic_light traffic_light
🐎 horse racehorse
🐴 horse_face horse
🏇 horse_racing 
🏥 hospital 
☕ hot_beverage coffee
🌭 hot_dog hotdog
🥵 hot_face 
🌶️ hot_pepper 
🌶 hot_pepper 
♨️ hot_springs hotsprings
♨ hot_springs hotsprings
🏨 hotel 
⌛ hourglass_done hourglass
⏳ hourglass_not_done hourglass_flowing_sand
🏠 house 
🏡 house_with_garden 
🏘️ houses house_buildings
🏘 houses house_buildings
💯 hundred_points 100
😯 hushed_face hushed
🛖 hut 
🪻 hyacinth 
🧊 ice ice_cube
🍨 ice_cream 
🏒 ice_hockey ice_hockey_stick_and_puck
⛸️ ice_skate 
⛸ ice_skate 
🪪 identification_card 
📥 inbox_tray 
📨 incoming_envelope 
🫵 index_pointing_at_the_viewer 
☝️ index_pointing_up point_up
☝ index_pointing_up point_up
♾️ infinity 
♾ infinity 
ℹ️ information information_source
ℹ information information_source
🔤 input_latin_letters abc
🔡 input_latin_lowercase abcd
🔠 input_latin_uppercase capital_abcd
🔢 input_numbers 1234
🔣 input_symbols symbols
🎃 jack-o-lantern jack_o_lantern
🫙 jar 
👖 jeans 
🪼 jellyfish 
🃏 joker black_joker
🕹️ joystick 
🕹 joystick 
🧑‍⚖️ judge 
🧑‍⚖ judge 
🕋 kaaba 
🦘 kangaroo 
🔑 key 
⌨️ keyboard 
⌨ keyboard 
#️⃣ keycap_# hash
#⃣ keycap_# hash
*️⃣ keycap_* asterisk
*⃣ keycap_* asterisk
0️⃣ keycap_0 zero
0⃣ keycap_0 zero
1️⃣ keycap_1 one
1⃣ keycap_1 one
🔟 keycap_10 ten keycap_ten
2️⃣ keycap_2 two
2⃣ keycap_2 two
3️⃣ keycap_3 three
3⃣ keycap_3 three
4️⃣ keycap_4 four
4⃣ keycap_4 four
5️⃣ keycap_5 five
5⃣ keycap_5 five
6️⃣ keycap_6 six
6⃣ keycap_6 six
7️⃣ keycap_7 seven
7⃣ keycap_7 seven
8️⃣ keycap_8 eight
8⃣ keycap_8 eight
9️⃣ keycap_9 nine
9⃣ keycap_9 nine
🪯 khanda 
🛴 kick_scooter 
👘 kimono 
💏 kiss couplekiss
👨‍❤️‍💋‍👨 kiss_man_man couplekiss_man_man
👨‍❤‍💋‍👨 kiss_man_man couplekiss_man_man
💋 kiss_mark kiss
👩‍❤️‍💋‍👨 kiss_woman_man couplekiss_man_woman
👩‍❤‍💋‍👨 kiss_woman_man couplekiss_man_woman
👩‍❤️‍💋‍👩 kiss_woman_woman couplekiss_woman_woman
👩‍❤‍💋‍👩 kiss_woman_woman couplekiss_woman_woman
😽 kissing_cat 
😗 kissing_face kissing
😚 kissing_face_with_closed_eyes kissing_closed_eyes
😙 kissing_face_with_smiling_eyes kissing_smiling_eyes
🔪 kitchen_knife hocho knife
🪁 kite 
🥝 kiwi_fruit 
🪢 knot 
🐨 koala 
🥼 lab_coat 
🏷️ label 
🏷 label 
🥍 lacrosse 
🪜 ladder 
🐞 lady_beetle beetle
💻 laptop computer
🔷 large_blue_diamond 
🔶 large_orange_diamond 
🌗 last_quarter_moon 
🌜 last_quarter_moon_face last_quarter_moon_with_face
⏮️ last_track_button previous_track_button black_left_pointing_double_triangle_with_vertical_bar
⏮ last_track_button previous_track_button black_left_pointing_double_triangle_with_vertical_bar
✝️ latin_cross 
✝ latin_cross 
🍃 leaf_fluttering_in_wind leaves
🪾 leafless_tree 
🥬 leafy_green 
📒 ledger 
🤛 left-facing_fist fist_left left_facing_fist
↔️ left-right_arrow left_right_arrow
↔ left-right_arrow left_right_arrow
⬅️ left_arrow arrow_left
⬅ left_arrow arrow_left
↪️ left_arrow_curving_right arrow_right_hook
↪ left_arrow_curving_right arrow_right_hook
🛅 left_luggage 
🗨️ left_speech_bubble 
🗨 left_speech_bubble 
🫲 leftwards_hand 
🫷 leftwards_pushing_hand 
🦵 leg 
🍋 lemon 
🐆 leopard 
🎚️ level_slider 
🎚 level_slider 
🩵 light_blue_heart 
💡 light_bulb bulb
🚈 light_rail 
🍋‍🟩 lime 
🔗 link 
🖇️ linked_paperclips paperclips
🖇 linked_paperclips paperclips
🦁 lion lion_face
💄 lipstick 
🚮 litter_in_bin_sign put_litter_in_its_place
🦎 lizard 
🦙 llama 
🦞 lobster 
🔒 locked lock
🔐 locked_with_key closed_lock_with_key
🔏 locked_with_pen lock_with_ink_pen
🚂 locomotive steam_locomotive
🍭 lollipop 
🪘 long_drum 
🧴 lotion_bottle 
🪷 lotus 
😭 loudly_crying_face sob
📢 loudspeaker 
🤟 love-you_gesture love_you_gesture
🏩 love_hotel 
💌 love_letter 
🪫 low_battery 
🧳 luggage 
🫁 lungs 
🤥 lying_face 
🧙 mage 
🪄 magic_wand 
🧲 magnet 
🔍 magnifying_glass_tilted_left mag
🔎 magnifying_glass_tilted_right mag_right
🀄 mahjong_red_dragon mahjong
♂️ male_sign 
♂ male_sign 
🦣 mammoth 
👨 man 
👨‍🎨 man_artist 
👨‍🚀 man_astronaut 
👨‍🦲 man_bald bald_man
🧔‍♂️ man_beard 
🧔‍♂ man_beard 
🚴‍♂️ man_biking biking_man
🚴‍♂ man_biking biking_man
👱‍♂️ man_blond_hair blond_haired_man
👱‍♂ man_blond_hair blond_haired_man
⛹️‍♂️ man_bouncing_ball basketball_man bouncing_ball_man
⛹‍♂️ man_bouncing_ball basketball_man bouncing_ball_man
⛹️‍♂ man_bouncing_ball basketball_man bouncing_ball_man
⛹‍♂ man_bouncing_ball basketball_man bouncing_ball_man
🙇‍♂️ man_bowing bowing_man
🙇‍♂ man_bowing bowing_man
🤸‍♂️ man_cartwheeling 
🤸‍♂ man_cartwheeling 
🧗‍♂️ man_climbing climbing_man
🧗‍♂ man_climbing climbing_man
👷‍♂️ man_construction_worker construction_worker_man
👷‍♂ man_construction_worker construction_worker_man
👨‍🍳 man_cook 
👨‍🦱 man_curly_hair curly_haired_man
🕺 man_dancing 
🕵️‍♂️ man_detective male_detective
🕵‍♂️ man_detective male_detective
🕵️‍♂ man_detective male_detective
🕵‍♂ man_detective male_detective
🧝‍♂️ man_elf elf_man
🧝‍♂ man_elf elf_man
🤦‍♂️ man_facepalming 
🤦‍♂ man_facepalming 
👨‍🏭 man_factory_worker 
🧚‍♂️ man_fairy fairy_man
🧚‍♂ man_fairy fairy_man
👨‍🌾 man_farmer 
👨‍🍼 man_feeding_baby 
👨‍🚒 man_firefighter 
🙍‍♂️ man_frowning frowning_man
🙍‍♂ man_frowning frowning_man
🧞‍♂️ man_genie genie_man
🧞‍♂ man_genie genie_man
🙅‍♂️ man_gesturing_NO no_good_man ng_man man_gesturing_no
🙅‍♂ man_gesturing_NO no_good_man ng_man man_gesturing_no
🙆‍♂️ man_gesturing_OK ok_man man_gesturing_ok
🙆‍♂ man_gesturing_OK ok_man man_gesturing_ok
💇‍♂️ man_getting_haircut haircut_man
💇‍♂ man_getting_haircut haircut_man
💆‍♂️ man_getting_massage massage_man
💆‍♂ man_getting_massage massage_man
🏌️‍♂️ man_golfing golfing_man
🏌‍♂️ man_golfing golfing_man
🏌️‍♂ man_golfing golfing_man
🏌‍♂ man_golfing golfing_man
💂‍♂️ man_guard guardsman
💂‍♂ man_guard guardsman
👨‍⚕️ man_health_worker 
👨‍⚕ man_health_worker 
🧘‍♂️ man_in_lotus_position lotus_position_man
🧘‍♂ man_in_lotus_position lotus_position_man
👨‍🦽 man_in_manual_wheelchair 
👨‍🦽‍➡️ man_in_manual_wheelchair_facing_right 
👨‍🦽‍➡ man_in_manual_wheelchair_facing_right 
👨‍🦼 man_in_motorized_wheelchair 
👨‍🦼‍➡️ man_in_motorized_wheelchair_facing_right 
👨‍🦼‍➡ man_in_motorized_wheelchair_facing_right 
🧖‍♂️ man_in_steamy_room sauna_man
🧖‍♂ man_in_steamy_room sauna_man
🤵‍♂️ man_in_tuxedo 
🤵‍♂ man_in_tuxedo 
👨‍⚖️ man_judge 
👨‍⚖ man_judge 
🤹‍♂️ man_juggling 
🤹‍♂ man_juggling 
🧎‍♂️ man_kneeling kneeling_man
🧎‍♂ man_kneeling kneeling_man
🧎‍♂️‍➡️ man_kneeling_facing_right 
🧎‍♂‍➡️ man_kneeling_facing_right 
🧎‍♂️‍➡ man_kneeling_facing_right 
🧎‍♂‍➡ man_kneeling_facing_right 
🏋️‍♂️ man_lifting_weights weight_lifting_man
🏋‍♂️ man_lifting_weights weight_lifting_man
🏋️‍♂ man_lifting_weights weight_lifting_man
🏋‍♂ man_lifting_weights weight_lifting_man
🧙‍♂️ man_mage mage_man
🧙‍♂ man_mage mage_man
👨‍🔧 man_mechanic 
🚵‍♂️ man_mountain_biking mountain_biking_man
🚵‍♂ man_mountain_biking mountain_biking_man
👨‍💼 man_office_worker 
👨‍✈️ man_pilot 
👨‍✈ man_pilot 
🤾‍♂️ man_playing_handball 
🤾‍♂ man_playing_handball 
🤽‍♂️ man_playing_water_polo 
🤽‍♂ man_playing_water_polo 
👮‍♂️ man_police_officer policeman
👮‍♂ man_police_officer policeman
🙎‍♂️ man_pouting pouting_man
🙎‍♂ man_pouting pouting_man
🙋‍♂️ man_raising_hand raising_hand_man
🙋‍♂ man_raising_hand raising_hand_man
👨‍🦰 man_red_hair red_haired_man
🚣‍♂️ man_rowing_boat rowing_man
🚣‍♂ man_rowing_boat rowing_man
🏃‍♂️ man_running running_man
🏃‍♂ man_running running_man
🏃‍♂️‍➡️ man_running_facing_right 
🏃‍♂‍➡️ man_running_facing_right 
🏃‍♂️‍➡ man_running_facing_right 
🏃‍♂‍➡ man_running_facing_right 
👨‍🔬 man_scientist 
🤷‍♂️ man_shrugging 
🤷‍♂ man_shrugging 
👨‍🎤 man_singer 
🧍‍♂️ man_standing standing_man
🧍‍♂ man_standing standing_man
👨‍🎓 man_student 
🦸‍♂️ man_superhero superhero_man
🦸‍♂ man_superhero superhero_man
🦹‍♂️ man_supervillain supervillain_man
🦹‍♂ man_supervillain supervillain_man
🏄‍♂️ man_surfing surfing_man
🏄‍♂ man_surfing surfing_man
🏊‍♂️ man_swimming swimming_man
🏊‍♂ man_swimming swimming_man
👨‍🏫 man_teacher 
👨‍💻 man_technologist 
💁‍♂️ man_tipping_hand sassy_man tipping_hand_man
💁‍♂ man_tipping_hand sassy_man tipping_hand_man
🧛‍♂️ man_vampire vampire_man
🧛‍♂ man_vampire vampire_man
🚶‍♂️ man_walking walking_man
🚶‍♂ man_walking walking_man
🚶‍♂️‍➡️ man_walking_facing_right 
🚶‍♂‍➡️ man_walking_facing_right 
🚶‍♂️‍➡ man_walking_facing_right 
🚶‍♂‍➡ man_walking_facing_right 
👳‍♂️ man_wearing_turban man_with_turban
👳‍♂ man_wearing_turban man_with_turban
👨‍🦳 man_white_hair white_haired_man
👰‍♂️ man_with_veil 
👰‍♂ man_with_veil 
👨‍🦯 man_with_white_cane man_with_probing_cane
👨‍🦯‍➡️ man_with_white_cane_facing_right 
👨‍🦯‍➡ man_with_white_cane_facing_right 
🧟‍♂️ man_zombie zombie_man
🧟‍♂ man_zombie zombie_man
🥭 mango 
🕰️ mantelpiece_clock 
🕰 mantelpiece_clock 
🦽 manual_wheelchair 
👞 man’s_shoe mans_shoe shoe
🗾 map_of_Japan japan map_of_japan
🍁 maple_leaf 
🪇 maracas 
🥋 martial_arts_uniform 
🧉 mate 
🍖 meat_on_bone 
🧑‍🔧 mechanic 
🦾 mechanical_arm 
🦿 mechanical_leg 
⚕️ medical_symbol 
⚕ medical_symbol 
📣 megaphone mega
🍈 melon 
🫠 melting_face 
📝 memo pencil
👬 men_holding_hands two_men_holding_hands
👯‍♂️ men_with_bunny_ears dancing_men
👯‍♂ men_with_bunny_ears dancing_men
🤼‍♂️ men_wrestling 
🤼‍♂ men_wrestling 
❤️‍🩹 mending_heart 
❤‍🩹 mending_heart 
🕎 menorah menorah_with_nine_branches
🚹 men’s_room mens mens_room
🧜‍♀️ mermaid 
🧜‍♀ mermaid 
🧜‍♂️ merman 
🧜‍♂ merman 
🧜 merperson 
🚇 metro 
🦠 microbe 
🎤 microphone 
🔬 microscope 
🖕 middle_finger fu reversed_hand_with_middle_finger_extended
🪖 military_helmet 
🎖️ military_medal medal_military
🎖 military_medal medal_military
🌌 milky_way 
🚐 minibus 
➖ minus heavy_minus_sign
🪞 mirror 
🪩 mirror_ball 
🗿 moai moyai
📱 mobile_phone iphone
📴 mobile_phone_off 
📲 mobile_phone_with_arrow calling
🤑 money-mouth_face money_mouth_face
💰 money_bag moneybag
💸 money_with_wings 
🐒 monkey 
🐵 monkey_face 
🚝 monorail 
🥮 moon_cake 
🎑 moon_viewing_ceremony rice_scene
🫎 moose 
🕌 mosque 
🦟 mosquito 
🛥️ motor_boat 
🛥 motor_boat 
🛵 motor_scooter 
🏍️ motorcycle racing_motorcycle
🏍 motorcycle racing_motorcycle
🦼 motorized_wheelchair 
🛣️ motorway 
🛣 motorway 
🗻 mount_fuji 
⛰️ mountain 
⛰ mountain 
🚠 mountain_cableway 
🚞 mountain_railway 
🐁 mouse mouse2
🐭 mouse_face mouse
🪤 mouse_trap 
👄 mouth lips
🎥 movie_camera 
✖️ multiply heavy_multiplication_x
✖ multiply heavy_multiplication_x
🍄 mushroom 
🎹 musical_keyboard 
🎵 musical_note 
🎶 musical_notes notes
🎼 musical_score 
🔇 muted_speaker mute
💅 nail_polish nail_care
📛 name_badge 
🏞️ national_park 
🏞 national_park 
🤢 nauseated_face 
🧿 nazar_amulet 
👔 necktie 
🤓 nerd_face 
🪺 nest_with_eggs 
🪆 nesting_dolls 
😐 neutral_face 
🌑 new_moon 
🌚 new_moon_face new_moon_with_face
📰 newspaper 
⏭️ next_track_button black_right_pointing_double_triangle_with_vertical_bar
⏭ next_track_button black_right_pointing_double_triangle_with_vertical_bar
🌃 night_with_stars 
🕤 nine-thirty clock930 nine_thirty
🕘 nine_o’clock clock9 nine_oclock
🥷 ninja 
🚳 no_bicycles 
⛔ no_entry 
🚯 no_littering do_not_litter
📵 no_mobile_phones 
🔞 no_one_under_eighteen underage
🚷 no_pedestrians 
🚭 no_smoking 
🚱 non-potable_water non_potable_water
👃 nose 
📓 notebook 
📔 notebook_with_decorative_cover 
🔩 nut_and_bolt 
🐙 octopus 
🍢 oden 
🏢 office_building office
🧑‍💼 office_worker 
👹 ogre japanese_ogre
🛢️ oil_drum 
🛢 oil_drum 
🗝️ old_key 
🗝 old_key 
👴 old_man older_man
👵 old_woman older_woman
🧓 older_person older_adult
🫒 olive 
🕉️ om om_symbol
🕉 om om_symbol
🚘 oncoming_automobile 
🚍 oncoming_bus 
👊 oncoming_fist fist_oncoming punch facepunch
🚔 oncoming_police_car 
🚖 oncoming_taxi 
🩱 one-piece_swimsuit one_piece_swimsuit
🕜 one-thirty clock130 one_thirty
🕐 one_o’clock clock1 one_oclock
🧅 onion 
📖 open_book book
📂 open_file_folder 
👐 open_hands 
📭 open_mailbox_with_lowered_flag mailbox_with_no_mail
📬 open_mailbox_with_raised_flag mailbox_with_mail
💿 optical_disk cd
📙 orange_book 
🟠 orange_circle 
🧡 orange_heart 
🟧 orange_square 
🦧 orangutan 
☦️ orthodox_cross 
☦ orthodox_cross 
🦦 otter 
📤 outbox_tray 
🦉 owl 
🐂 ox 
🦪 oyster 
📦 package 
📄 page_facing_up 
📃 page_with_curl 
📟 pager 
🖌️ paintbrush lower_left_paintbrush
🖌 paintbrush lower_left_paintbrush
🫳 palm_down_hand 
🌴 palm_tree 
🫴 palm_up_hand 
🤲 palms_up_together 
🥞 pancakes 
🐼 panda panda_face
📎 paperclip 
🪂 parachute 
🦜 parrot 
〽️ part_alternation_mark 
〽 part_alternation_mark 
🎉 party_popper tada
🥳 partying_face 
🛳️ passenger_ship 
🛳 passenger_ship 
🛂 passport_control 
⏸️ pause_button double_vertical_bar
⏸ pause_button double_vertical_bar
🐾 paw_prints feet
🫛 pea_pod 
☮️ peace_symbol 
☮ peace_symbol 
🍑 peach 
🦚 peacock 
🥜 peanuts 
🍐 pear 
🖊️ pen lower_left_ballpoint_pen
🖊 pen lower_left_ballpoint_pen
✏️ pencil pencil2
✏ pencil pencil2
🐧 penguin 
😔 pensive_face pensive
🧑‍🤝‍🧑 people_holding_hands 
🫂 people_hugging 
👯 people_with_bunny_ears dancers
🤼 people_wrestling wrestling
🎭 performing_arts 
😣 persevering_face persevere
🧑 person adult
🧑‍🦲 person_bald 
🧔 person_beard bearded_person
🚴 person_biking bicyclist
👱 person_blond_hair blond_haired_person person_with_blond_hair
⛹️ person_bouncing_ball bouncing_ball_person person_with_ball
⛹ person_bouncing_ball bouncing_ball_person person_with_ball
🙇 person_bowing bow
🤸 person_cartwheeling cartwheeling
🧗 person_climbing climbing
🧑‍🦱 person_curly_hair 
🤦 person_facepalming facepalm
🧑‍🍼 person_feeding_baby 
🤺 person_fencing 
🙍 person_frowning frowning_person
🙅 person_gesturing_NO no_good person_gesturing_no
🙆 person_gesturing_OK ok_person person_gesturing_ok
💇 person_getting_haircut haircut
💆 person_getting_massage massage
🏌️ person_golfing golfing golfer
🏌 person_golfing golfing golfer
🛌 person_in_bed sleeping_bed sleeping_accommodation
🧘 person_in_lotus_position lotus_position
🧑‍🦽 person_in_manual_wheelchair 
🧑‍🦽‍➡️ person_in_manual_wheelchair_facing_right 
🧑‍🦽‍➡ person_in_manual_wheelchair_facing_right 
🧑‍🦼 person_in_motorized_wheelchair 
🧑‍🦼‍➡️ person_in_motorized_wheelchair_facing_right 
🧑‍🦼‍➡ person_in_motorized_wheelchair_facing_right 
🧖 person_in_steamy_room sauna_person
🕴️ person_in_suit_levitating business_suit_levitating man_in_business_suit_levitating
🕴 person_in_suit_levitating business_suit_levitating man_in_business_suit_levitating
🤵 person_in_tuxedo 
🤹 person_juggling juggling_person
🧎 person_kneeling kneeling_person
🧎‍➡️ person_kneeling_facing_right 
🧎‍➡ person_kneeling_facing_right 
🏋️ person_lifting_weights weight_lifting weight_lifter
🏋 person_lifting_weights weight_lifting weight_lifter
🚵 person_mountain_biking mountain_bicyclist
🤾 person_playing_handball handball_person
🤽 person_playing_water_polo water_polo
